,No.,Names,Party Name,	Constituency (State),profile Links
404,405,"Sardinha, Shri Francisco Cosme",Indian National Congress,South Goa (Goa),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3914
405,406,"Sarkar, ShriJagannath",Bharatiya Janata Party,Ranaghat (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5055
406,407,"Sarkar, Dr.Subhas",Bharatiya Janata Party,Bankura (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5037
407,408,"Satyanarayana, Shri M V V",Yuvajana Sramika Rythu Congress Party,Visakhapatnam (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5099
408,409,"Saumitra, Shri Khan",Bharatiya Janata Party,Bishnupur (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4875
409,410,"Sawant, Shri Arvind Ganpat",Shiv Sena,Mumbai-South (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4713
410,411,"Selvam, Shri Ganesan",Dravida Munnetra Kazhagam,Kancheepuram (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4963
411,412,"Selvaraj, Shri Muniyan",Communist Party of India,Nagapattinam (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3409
412,413,"Sen, Dr.Jadon Chandra",Bharatiya Janata Party,Firozabad (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5225
413,414,"Seth, Shri Sanjay",Bharatiya Janata Party,Ranchi (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5117
414,415,"Sethi, Smt. Sarmistha Kumari",Biju Janata Dal,Jajpur (SC)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4991
415,416,"Shah, Shri Amit Anil Chandra",Bharatiya Janata Party,Gandhinagar (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5021
416,417,"Shah, Smt. Mala Rajya Laxmi",Bharatiya Janata Party,Tehri Garhwal (Uttarakhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4582
417,418,"Sharma, ShriAnurag",Bharatiya Janata Party,Jhansi (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5148
418,419,"Sharma, Dr. Arvind Kumar",Bharatiya Janata Party,Rohtak (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3785
419,420,"Sharma, Shri Jugal Kishore",Bharatiya Janata Party,Jammu (Jammu and Kashmir),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4720
420,421,"Sharma, Shri Kuldeep Rai",Indian National Congress,Andaman and Nicobar Islands (Andaman and Nicobar Islands),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5119
421,422,"Sharma, Dr. Mahesh",Bharatiya Janata Party,Gautam Buddha Nagar (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4642
422,423,"Sharma, Shri Vishnu Datt",Bharatiya Janata Party,Khajuraho (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5066
423,424,"Shejwalkar, Shri Vivek Narayan",Bharatiya Janata Party,Gwalior (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5064
424,425,"Shekhawat, Shri Gajendra Singh",Bharatiya Janata Party,Jodhpur (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4670
425,426,"Shetty, Shri Gopal Chinayya",Bharatiya Janata Party,Mumbai-North (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4661
426,427,"Shewale, Shri Rahul Ramesh ",Shiv Sena,Mumbai South-Central (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4903
427,428,"Shinde, Dr. Shrikant Eknath",Shiv Sena,Kalyan (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4659
428,429,"Shiyal, Dr. Bharatiben Dhirubhai",Bharatiya Janata Party,Bhavnagar (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4693
429,430,"Shrangare, Shri Sudhakar Tukaram",Bharatiya Janata Party,Latur (SC)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5195
430,431,"Shukla, ShriRavi Kishan",Bharatiya Janata Party,Gorakhpur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5144
431,432,"Siddeshwara, Shri Gowdar Mallikarjunappa",Bharatiya Janata Party,Davanagere (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3977
432,433,"Sigriwal, Shri Janardan Singh",Bharatiya Janata Party,Maharajganj (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4638
433,434,"Simha, Shri Prathap",Bharatiya Janata Party,Mysore (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4708
434,435,"Singari, Dr. Sanjeev Kumar",Yuvajana Sramika Rythu Congress Party,Kurnool (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5094
435,436,"Singh, Dr. Amar",Indian National Congress,Fatehgarh Sahib (SC)(Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5169
436,437,"Singh, ShriArjun",Bharatiya Janata Party,Barrackpur (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5038
437,438,"Singh, ShriAtul Kumar",Bahujan Samaj Party,Ghosi (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5143
438,439,"Singh, Shri Bhola",Bharatiya Janata Party,Bulandshahr (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4605
439,440,"Singh, Shri Brijbhushan Sharan",Bharatiya Janata Party,Kaiserganj (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=438
440,441,"Singh, Shri Brijendra",Bharatiya Janata Party,Hisar (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5028
441,442,"Singh, ShriChandan",Lok Jan Shakti Party,Nawada (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5218
442,443,"Singh, Shri Devendra (Alias) Bhole Singh",Bharatiya Janata Party,Akbarpur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4664
443,444,"Singh, Shri Dushyant",Bharatiya Janata Party,Jhalawar-Baran (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4005
444,445,"Singh, Shri Ganesh",Bharatiya Janata Party,Satna (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3986
445,446,"Singh, Shri Giriraj",Bharatiya Janata Party,Begusarai (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4641
446,447,"Singh, Smt. Himadri",Bharatiya Janata Party,Shahdol (ST)(Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5070
447,448,"Singh, Dr. Jitendra",Bharatiya Janata Party,Udhampur (Jammu and Kashmir),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4718
448,449,"Singh, Smt. Kavita",Janata Dal (United),Siwan (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5221
449,450,"Singh, Shri Kirti Vardhan",Bharatiya Janata Party,Gonda (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3926
450,451,"Singh, Shri Lallu",Bharatiya Janata Party,Faizabad (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4752
451,452,"Singh, Shri Mahabali",Janata Dal (United),Karakat (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4472
452,453,"Singh, Shri Nayab",Bharatiya Janata Party,Kurukshetra (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5030
453,454,"Singh, Shri Parvesh Sahib",Bharatiya Janata Party,West Delhi (NCT of Delhi),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4758
454,455,"Singh, Shri Pashupati Nath",Bharatiya Janata Party,Dhanbad (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4326
455,456,"Singh, Shri Pradeep Kumar",Bharatiya Janata Party,Araria (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4459
456,457,"Singh, Smt. Pratibha",Indian National Congress,Mandi (Himachal Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4044
457,458,"Singh, Shri Radha Mohan",Bharatiya Janata Party,Purvi Champaran (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=451
458,459,"Singh, Shri Raj Kumar",Bharatiya Janata Party,Arrah (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4653
459,460,"Singh, Shri Raj Nath",Bharatiya Janata Party,Lucknow (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4268
460,461,"Singh, Shri Rajbahadur",Bharatiya Janata Party,Sagar (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5069
461,462,"Singh, Shri Rajiv Ranjan Alias Lalan Singh",Janata Dal (United),Munger (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4134
462,463,"Singh, Shri Rajveer (Raju Bhaiya)",Bharatiya Janata Party,Etah (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4634
463,464,"Singh, Shri Rakesh",Bharatiya Janata Party,Jabalpur (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3987
464,465,"Singh, Shri Ravneet",Indian National Congress,Ludhiana (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4429
465,466,"Singh, Smt. Renuka ",Bharatiya Janata Party,Surguja (ST)(Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5016
466,467,"Singh, Dr. Satya Pal",Bharatiya Janata Party,Baghpat (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4600
467,468,"Singh, Shri Sunil Kumar",Bharatiya Janata Party,Chatra (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4750
468,469,"Singh, Shri Sushil Kumar",Bharatiya Janata Party,Aurangabad (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3928
469,470,"Singh, Shri Uday Pratap",Bharatiya Janata Party,Hoshangabad (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4516
470,471,"Singh, Shri Virendra",Bharatiya Janata Party,Ballia (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3608
471,472,"Singh Deo, Smt. Sangeeta Kumari",Bharatiya Janata Party,Bolangir (Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=426
472,473,"Sinha, Shri Jayant",Bharatiya Janata Party,Hazaribagh (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4768
473,474,"Solanki, Dr. (Prof.) Kirit Premjibhai",Bharatiya Janata Party,Ahmedabad West (SC)(Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4444
474,475,"Solanky, Shri Mahendra Singh",Bharatiya Janata Party,Dewas (SC)(Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5061
475,476,"Soni, Shri Sunil Kumar",Bharatiya Janata Party,Raipur (Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5014
476,477,"Sonkar, Shri Vinod Kumar",Bharatiya Janata Party,Kaushambi (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4623
477,478,"Soren, Shri Sunil",Bharatiya Janata Party,Dumka (ST)(Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5114
478,479,"Sridhar, Shri Kotagiri",Yuvajana Sramika Rythu Congress Party,Eluru (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5091
479,480,"Subba, Shri Indra Hang",Sikkim Krantikari Morcha,Sikkim (Sikkim),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5111
480,481,"Subbarayan, Shri K.",Communist Party of India,Tiruppur (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4086
481,482,"Sudhakaran, Shri Kumbakudi",Indian National Congress,Kannur (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4558
482,483,"Sule, Smt. Supriya Sadanand",Nationalist Congress Party,Baramati (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4392
483,484,"Suman, Dr. Alok Kumar",Janata Dal (United),Gopalganj (SC)(Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5211
484,485,"Sundaram, Shri K. Shanmuga ",Dravida Munnetra Kazhagam,Pollachi (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4978
485,486,"Sunil Kumar Pintu, Shri ",Janata Dal (United),Sitamarhi (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5220
486,487,"Suresh, Shri Doddalahalli Kempegowda",Indian National Congress,Bangalore Rural (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4585
487,488,"Suresh, Shri Nandigam",Yuvajana Sramika Rythu Congress Party,Bapatla (SC)(Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5089
488,489,"Surya, Shri L.S. Tejasvi",Bharatiya Janata Party,Bangalore South (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5182
489,490,"Swami Maharaj,Dr. Sakshi Ji",Bharatiya Janata Party,Unnao (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3586
490,491,"Syed Imtiaz Jaleel, Shri ",All India Majlis-E-Ittehadul Muslimeen,Aurangabad (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5200
491,492,"T. Sumathy (A) Thamizhachi Thangapandian, Dr.",Dravida Munnetra Kazhagam,Chennai South (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4961
492,493,"Tadas, Shri Ramdas Chandrabhanji",Bharatiya Janata Party,Wardha (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4911
493,494,"Tagore B., Shri Manickam",Indian National Congress,Virudhunagar (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4552
494,495,"Tamta, Shri Ajay",Bharatiya Janata Party,Almora (SC)(Uttarakhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4651
495,496,"Tatkare, Shri Sunil Dattatray",Nationalist Congress Party,Raigad (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5199
496,497,"Teli, Shri Rameswar",Bharatiya Janata Party,Dibrugarh (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4745
497,498,"Tewari, Shri Manish",Indian National Congress,Anandpur Sahib (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4430
498,499,"Thakur, Shri Anurag Singh",Bharatiya Janata Party,Hamirpur (Himachal Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4249
499,500,"Thakur, Sadhvi Pragya Singh",Bharatiya Janata Party,Bhopal (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5059
500,501,"Thakur, ShriShantanu",Bharatiya Janata Party,Bangaon (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5036
501,502,"Tharoor, Dr. Shashi",Indian National Congress,Thiruvananthapuram (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4569
502,503,"Thirumaavalavan, Dr. Tholkappiyan",Viduthalai Chiruthaigal Katchi,Chidambaram (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4549
503,504,"Thirunavukkarasar, Shri Su.",Indian National Congress,Tiruchirappalli (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=485
504,505,"Tiwari, Shri Manoj Kumar",Bharatiya Janata Party,North East Delhi (NCT of Delhi),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4606
505,506,"Tomar, Shri Narendra Singh",Bharatiya Janata Party,Morena (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4507
506,507,"Tripathi, Dr. Ramapati Ram",Bharatiya Janata Party,Deoria (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5140
507,508,"Tripura, ShriRebati",Bharatiya Janata Party,Tripura East (ST)(Tripura),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4982
508,509,"Tudu, Shri Bishweswar",Bharatiya Janata Party,Mayurbhanj (ST)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4997
509,510,"Tumane, Shri Krupal Balaji",Shiv Sena,Ramtek (SC)(Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4734
510,511,"Udasi, Shri Shivkumar Chanabasappa",Bharatiya Janata Party,Haveri (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4340
511,512,"Uikey, Shri Durga Das",Bharatiya Janata Party,Betul (ST)(Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5057
512,513,"Ulaka, Shri Saptagiri Sankar",Indian National Congress,Koraput (ST)(Odisha),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4996
513,514,"Unnithan, Shri Rajmohan",Indian National Congress,Kasaragod (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5127
514,515,"V.K. Sreekandan, Shri ",Indian National Congress,Palakkad (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5128
515,516,"Vallabbhaneni, Shri Balashowry",Yuvajana Sramika Rythu Congress Party,Machilipatnam (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4021
516,517,"Vanga, Smt. Geetha Viswanath",Yuvajana Sramika Rythu Congress Party,Kakinada (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5093
517,518,"Vasava, Shri Mansukhbhai Dhanjibhai",Bharatiya Janata Party,Bharuch (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=501
518,519,"Vasava, Shri Prabhubhai Nagarbhai",Bharatiya Janata Party,Bardoli (ST)(Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4757
519,520,"Ve., ShriVaithilingam",Indian National Congress,Puducherry (Puducherry),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5120
520,521,"Velusamy, ShriP.",Dravida Munnetra Kazhagam,Dindigul (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4977
521,522,"Venkatesan, Shri S.",Communist Party of India (Marxist),Madurai (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4965
522,523,"Verma, Shri Bhanu Pratap Singh",Bharatiya Janata Party,Jalaun (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3824
523,524,"Verma, Shri Rajesh",Bharatiya Janata Party,Sitapur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=510
524,525,"Verma, Smt. Rekha Arun",Bharatiya Janata Party,Dhaurahra (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4918
525,526,"Verma, Shri Ram Shiromani ",Bahujan Samaj Party,Shrawasti (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5164
526,527,"Vichare, Shri Rajan Baburao ",Shiv Sena,Thane (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4663
527,528,"Vijayakumar (Alias) Vijay Vasanth , Shri ",Indian National Congress,Kanniyakumari (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5533
528,529,"Vikhepatil, Dr. Sujay Radhakrishna",Bharatiya Janata Party,Ahmednagar (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5196
529,530,"Vishnu Prasad, Dr. M.K.",Indian National Congress,Arani (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4971
530,531,"Y, Shri Devendrappa",Bharatiya Janata Party,Bellary (ST)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5171
531,532,"Yadav, Shri Ashok Kumar",Bharatiya Janata Party,Madhubani (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5217
532,533,"Yadav, Shri Dinesh Chandra",Janata Dal (United),Madhepura (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=527
533,534,"Yadav, Shri Giridhari",Janata Dal (United),Banka (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3830
534,535,"Yadav, Dr. Krishnapal Singh",Bharatiya Janata Party,Guna (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5063
535,536,"Yadav, Shri Mulayam Singh",Samajwadi Party,Mainpuri (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=530
536,537,"Yadav, Shri Ram Kripal",Bharatiya Janata Party,Pataliputra (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3832
537,538,"Yadav, ShriShyam Singh",Bahujan Samaj Party,Jaunpur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5147
538,539,"Yepthomi, Shri Tokheho",Nationalist Democratic Progressive Party,Nagaland (Nagaland),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4950
